Number of data: 20000
Number of incorrect classifications: 5296
Test Sample Error Rate: 0.264787
Battacharyya bound: 0.32373
Chernoff bound: 0.3198
         beta*: 0.425
-0.429121, 0.8745, ONE, ONE, o
0.73296, 1.09134, ONE, ONE, o
0.739768, 0.870036, ONE, ONE, o
1.37571, 0.821076, ONE, ONE, o
-0.334848, 1.2732, ONE, ONE, o
1.91414, 0.999939, ONE, ONE, o
0.494533, 0.099224, ONE, ONE, o
1.9339, 0.792357, ONE, ONE, o
0.305214, 1.60846, ONE, ONE, o
1.08918, 3.04232, ONE, ONE, o
3.38909, 0.775734, ONE, ONE, o
2.25073, 1.60888, ONE, ONE, o
0.955694, 0.948586, ONE, ONE, o
1.65149, 0.865462, ONE, ONE, o
2.32472, -0.960609, ONE, ONE, o
2.33395, 0.554523, ONE, ONE, o
-0.106682, 1.99006, ONE, ONE, o
1.31944, 1.14204, ONE, ONE, o
1.18964, 0.379333, ONE, ONE, o
2.98256, 0.421016, ONE, ONE, o
2.47943, 0.664353, ONE, ONE, o
1.34172, 0.706426, ONE, ONE, o
2.43418, -0.804815, ONE, ONE, o
2.53937, 1.71404, ONE, ONE, o
0.259355, -1.18136, ONE, ONE, o
1.49053, 1.61989, ONE, ONE, o
1.76384, 1.00549, ONE, ONE, o
1.76283, 2.77478, ONE, ONE, o
1.76582, 1.96504, ONE, ONE, o
0.879878, 0.769567, ONE, ONE, o
-0.201335, 0.070517, ONE, ONE, o
0.956704, 1.24432, ONE, ONE, o
-0.307604, 2.73731, ONE, ONE, o
0.851667, 1.64724, ONE, ONE, o
0.940387, 2.35404, ONE, ONE, o
0.817239, 2.27528, ONE, ONE, o
1.77704, 0.13177, ONE, ONE, o
-0.901087, 0.994599, ONE, ONE, o
0.860988, 1.36671, ONE, ONE, o
2.28195, 0.169927, ONE, ONE, o
0.726018, 1.38318, ONE, ONE, o
-0.741811, -0.355906, ONE, ONE, o
0.617762, 0.007027, ONE, ONE, o
0.345244, 1.70689, ONE, ONE, o
0.796965, 1.47339, ONE, ONE, o
1.19254, 2.4668, ONE, ONE, o
2.21156, 1.00546, ONE, ONE, o
0.828254, 1.43768, ONE, ONE, o
-1.59207, -1.33978, ONE, ONE, o
1.55599, 1.6597, ONE, ONE, o
1.59265, 0.927118, ONE, ONE, o
-0.003423, 0.548102, ONE, ONE, o
1.8799, 0.536854, ONE, ONE, o
-0.638187, 0.02425, ONE, ONE, o
0.113896, 1.84967, ONE, ONE, o
0.686676, 1.41056, ONE, ONE, o
1.6612, 0.5087, ONE, ONE, o
-0.406634, 0.567507, ONE, ONE, o
2.5235, 0.385579, ONE, ONE, o
2.59057, 0.443232, ONE, ONE, o
1.34793, -0.664507, ONE, ONE, o
0.320465, 1.3603, ONE, ONE, o
0.944029, 2.05368, ONE, ONE, o
2.39736, 1.71935, ONE, ONE, o
0.922463, -0.52291, ONE, ONE, o
-0.439866, 0.575675, ONE, ONE, o
-0.461256, -0.433917, ONE, ONE, o
2.83247, -0.180692, ONE, ONE, o
0.009846, 1.14533, ONE, ONE, o
0.927496, 2.71419, ONE, ONE, o
0.228246, 2.55141, ONE, ONE, o
0.435757, 1.88147, ONE, ONE, o
0.334379, 0.552948, ONE, ONE, o
0.158059, 0.021783, ONE, ONE, o
3.69072, 0.137554, ONE, ONE, o
1.78666, 2.94961, ONE, ONE, o
-0.761418, 0.864293, ONE, ONE, o
0.798796, 1.52868, ONE, ONE, o
0.467474, -0.212113, ONE, ONE, o
1.32888, 1.49836, ONE, ONE, o
1.90606, 1.11836, ONE, ONE, o
0.365051, 2.28408, ONE, ONE, o
3.19665, 1.26375, ONE, ONE, o
0.864652, -0.166389, ONE, ONE, o
0.59767, 1.28572, ONE, ONE, o
0.210048, -0.304993, ONE, ONE, o
-0.025609, -1.54082, ONE, ONE, o
-0.594708, 1.61351, ONE, ONE, o
0.216349, -0.214342, ONE, ONE, o
0.822639, 0.139758, ONE, ONE, o
0.967866, -0.574504, ONE, ONE, o
2.07668, 1.71159, ONE, ONE, o
1.40401, 2.9942, ONE, ONE, o
0.219575, 0.48924, ONE, ONE, o
0.375885, 2.1862, ONE, ONE, o
0.905993, 2.22863, ONE, ONE, o
0.336946, 0.448373, ONE, ONE, o
1.251, 1.56124, ONE, ONE, o
2.73507, 0.503914, ONE, ONE, o
-2.06226, 1.39444, ONE, TWO, X
1.47368, 1.71044, ONE, ONE, o
1.43127, 0.616025, ONE, ONE, o
-0.127965, 1.07894, ONE, ONE, o
1.85477, 0.852245, ONE, ONE, o
0.286581, 2.20988, ONE, ONE, o
0.554385, 1.01511, ONE, ONE, o
0.109471, 0.518565, ONE, ONE, o
0.221954, 1.21298, ONE, ONE, o
-0.41426, -0.050989, ONE, ONE, o
1.6475, 1.21299, ONE, ONE, o
1.44554, 2.02269, ONE, ONE, o
0.125849, 0.463042, ONE, ONE, o
0.873673, 2.14421, ONE, ONE, o
-0.94036, 1.99883, ONE, ONE, o
1.63115, 0.032894, ONE, ONE, o
-0.508315, 1.46378, ONE, ONE, o
2.20252, 2.25508, ONE, ONE, o
0.584029, 0.81156, ONE, ONE, o
0.998587, 0.425536, ONE, ONE, o
1.24371, 1.55676, ONE, ONE, o
-0.511243, 1.33907, ONE, ONE, o
1.63494, 2.07483, ONE, ONE, o
-0.237702, 1.11165, ONE, ONE, o
2.83456, 0.252424, ONE, ONE, o
0.520846, 1.32109, ONE, ONE, o
3.19943, 1.09183, ONE, ONE, o
1.36817, 1.59243, ONE, ONE, o
1.96505, 0.230212, ONE, ONE, o
1.79022, 0.298007, ONE, ONE, o
0.879657, 0.10037, ONE, ONE, o
0.503379, 0.331193, ONE, ONE, o
1.75872, -1.16335, ONE, ONE, o
1.10428, 0.942349, ONE, ONE, o
1.06886, 1.60929, ONE, ONE, o
-0.483774, 2.25313, ONE, ONE, o
1.08365, 2.70639, ONE, ONE, o
0.395827, 0.706577, ONE, ONE, o
0.267747, 1.6792, ONE, ONE, o
0.278593, -0.15073, ONE, ONE, o
2.37744, 0.860826, ONE, ONE, o
2.0832, 1.31029, ONE, ONE, o
1.40817, 2.60027, ONE, ONE, o
1.15042, 1.68279, ONE, ONE, o
2.17763, 0.624258, ONE, ONE, o
0.21736, 1.27655, ONE, ONE, o
0.56038, 1.71151, ONE, ONE, o
1.30993, -0.331738, ONE, ONE, o
1.8237, 0.586027, ONE, ONE, o
1.79967, 2.2607, ONE, ONE, o
0.683024, 1.07644, ONE, ONE, o
1.0058, 0.952488, ONE, ONE, o
1.81908, 1.13453, ONE, ONE, o
1.83193, 0.873545, ONE, ONE, o
1.63491, 3.08446, ONE, ONE, o
-0.303721, 2.02849, ONE, ONE, o
2.71674, 1.61747, ONE, ONE, o
0.836039, -0.187146, ONE, ONE, o
1.08452, 1.44943, ONE, ONE, o
1.77513, -1.00513, ONE, ONE, o
0.385112, 1.80583, ONE, ONE, o
0.402923, 0.840508, ONE, ONE, o
-0.546008, 2.29013, ONE, ONE, o
1.16497, 1.55724, ONE, ONE, o
1.6813, -0.440708, ONE, ONE, o
-0.762247, 0.386735, ONE, ONE, o
1.00092, 0.563345, ONE, ONE, o
1.9311, 3.03468, ONE, ONE, o
1.16267, 1.23697, ONE, ONE, o
0.706478, -2.10169, ONE, ONE, o
0.774627, 2.86072, ONE, ONE, o
1.4433, 0.887969, ONE, ONE, o
2.99591, 3.21746, ONE, TWO, X
1.86712, 0.586423, ONE, ONE, o
0.777846, 2.22274, ONE, ONE, o
1.47354, 1.58661, ONE, ONE, o
-0.648319, 1.69192, ONE, ONE, o
1.4675, -0.11599, ONE, ONE, o
1.51463, 0.605051, ONE, ONE, o
1.35426, 1.17586, ONE, ONE, o
-0.361237, 3.11827, ONE, TWO, X
0.509488, 0.358568, ONE, ONE, o
1.74372, 1.85153, ONE, ONE, o
1.2576, -0.003737, ONE, ONE, o
0.905314, 2.06578, ONE, ONE, o
1.76973, -1.64861, ONE, ONE, o
0.563501, 0.857664, ONE, ONE, o
1.23361, 0.914819, ONE, ONE, o
-0.429813, 0.600667, ONE, ONE, o
1.73605, 2.45848, ONE, ONE, o
0.305303, 0.876115, ONE, ONE, o
0.466417, 0.732862, ONE, ONE, o
2.30522, 0.960741, ONE, ONE, o
1.40026, 3.0976, ONE, ONE, o
1.25696, 2.30155, ONE, ONE, o
2.50485, 1.40696, ONE, ONE, o
-1.51407, 2.46423, ONE, TWO, X
-0.112826, 0.871765, ONE, ONE, o
1.54605, 2.32421, ONE, ONE, o
1.59153, 0.646304, ONE, ONE, o
1.85753, 0.770159, ONE, ONE, o
1.52055, 1.37539, ONE, ONE, o
0.683624, 0.056669, ONE, ONE, o
2.35615, 2.90716, ONE, ONE, o
-0.099163, 0.907805, ONE, ONE, o
1.68063, 0.51825, ONE, ONE, o
0.780431, 0.289936, ONE, ONE, o
0.16773, 0.731815, ONE, ONE, o
1.61674, 1.57519, ONE, ONE, o
-1.08917, 1.83132, ONE, ONE, o
1.32175, 0.550336, ONE, ONE, o
-0.504126, 0.529605, ONE, ONE, o
-0.231205, -0.596857, ONE, ONE, o
0.405309, 1.05851, ONE, ONE, o
0.848376, 1.68465, ONE, ONE, o
1.9577, 0.723758, ONE, ONE, o
2.57313, 0.353043, ONE, ONE, o
0.160137, 2.1362, ONE, ONE, o
2.34554, -0.264029, ONE, ONE, o
1.14626, 1.14168, ONE, ONE, o
1.98163, 0.216177, ONE, ONE, o
1.98713, 2.75906, ONE, ONE, o
0.512906, -0.224118, ONE, ONE, o
2.11506, 0.354841, ONE, ONE, o
-0.296669, 1.24222, ONE, ONE, o
1.75647, 0.688457, ONE, ONE, o
2.70487, -0.445741, ONE, ONE, o
1.85536, 0.598713, ONE, ONE, o
0.15792, 2.44536, ONE, ONE, o
1.89013, 2.24889, ONE, ONE, o
2.8524, 0.479199, ONE, ONE, o
0.648305, 0.983448, ONE, ONE, o
0.122771, 2.32465, ONE, ONE, o
1.12626, 0.696128, ONE, ONE, o
0.264486, 1.89296, ONE, ONE, o
1.28213, 1.5254, ONE, ONE, o
0.910669, 3.1861, ONE, ONE, o
0.157037, 1.41212, ONE, ONE, o
2.60903, 1.77636, ONE, ONE, o
0.947398, 0.716377, ONE, ONE, o
2.08814, 0.829642, ONE, ONE, o
0.852375, 1.29835, ONE, ONE, o
0.79555, 0.689537, ONE, ONE, o
0.671091, 1.96372, ONE, ONE, o
0.515069, -0.717637, ONE, ONE, o
0.744554, 1.66036, ONE, ONE, o
0.831412, 0.126017, ONE, ONE, o
1.18913, 0.452034, ONE, ONE, o
0.975449, 0.531171, ONE, ONE, o
1.22421, 1.09272, ONE, ONE, o
0.718838, 1.18502, ONE, ONE, o
1.65348, 0.345438, ONE, ONE, o
0.596517, 0.402325, ONE, ONE, o
0.322442, -0.451635, ONE, ONE, o
-1.04835, 0.233272, ONE, ONE, o
3.86084, 0.526437, ONE, ONE, o
0.50215, 0.919196, ONE, ONE, o
2.05526, 2.53167, ONE, ONE, o
0.525084, 3.13891, ONE, ONE, o
2.53925, 1.36896, ONE, ONE, o
1.35545, 1.19616, ONE, ONE, o
2.0323, 1.42132, ONE, ONE, o
-1.10827, 0.353635, ONE, ONE, o
-0.451436, 2.71058, ONE, ONE, o
0.638016, 0.228805, ONE, ONE, o
-0.227391, 0.746587, ONE, ONE, o
0.67926, 0.030756, ONE, ONE, o
2.03171, 0.265905, ONE, ONE, o
-0.433732, 0.947963, ONE, ONE, o
1.31884, 0.225968, ONE, ONE, o
1.4911, -0.040463, ONE, ONE, o
0.951099, 0.779695, ONE, ONE, o
0.057815, 2.1949, ONE, ONE, o
1.08048, 1.9195, ONE, ONE, o
1.33921, 2.88087, ONE, ONE, o
1.48699, 0.918146, ONE, ONE, o
-0.139555, 0.503175, ONE, ONE, o
1.07108, 2.07843, ONE, ONE, o
0.382426, 1.8997, ONE, ONE, o
1.59238, 1.03965, ONE, ONE, o
0.845263, 2.29675, ONE, ONE, o
-0.123513, -0.923143, ONE, ONE, o
0.363947, 1.70426, ONE, ONE, o
1.41721, 0.793381, ONE, ONE, o
3.37689, 1.15272, ONE, ONE, o
1.14943, 0.344267, ONE, ONE, o
3.12121, 1.46644, ONE, ONE, o
1.4969, 1.89279, ONE, ONE, o
-0.241199, 1.54213, ONE, ONE, o
0.411233, 1.68576, ONE, ONE, o
0.381229, 1.09657, ONE, ONE, o
2.49418, 0.773644, ONE, ONE, o
1.13814, 0.681828, ONE, ONE, o
1.1011, -0.285204, ONE, ONE, o
1.55849, 1.78872, ONE, ONE, o
0.292883, 0.344068, ONE, ONE, o
1.46193, 1.06587, ONE, ONE, o
1.59455, 4.29208, ONE, TWO, X
1.05242, 0.007955, ONE, ONE, o
2.39493, 1.27577, ONE, ONE, o
-0.750133, 0.299474, ONE, ONE, o
0.985873, 0.232919, ONE, ONE, o
-0.207797, 0.894421, ONE, ONE, o
0.483931, 2.45006, ONE, ONE, o
1.00239, 1.14761, ONE, ONE, o
0.338536, 1.59085, ONE, ONE, o
0.949256, 1.61619, ONE, ONE, o
2.33666, 1.98612, ONE, ONE, o
-0.724327, 1.7633, ONE, ONE, o
2.07936, 0.814525, ONE, ONE, o
-0.664795, 0.599614, ONE, ONE, o
1.98863, 2.24893, ONE, ONE, o
0.323761, 0.543357, ONE, ONE, o
0.76939, 0.955347, ONE, ONE, o
2.19342, 0.352508, ONE, ONE, o
0.450881, 0.444847, ONE, ONE, o
0.446017, 0.447804, ONE, ONE, o
-0.298992, 0.480387, ONE, ONE, o
1.22324, -0.529884, ONE, ONE, o
0.793717, 1.18538, ONE, ONE, o
-0.480407, 1.80866, ONE, ONE, o
0.211975, 1.19962, ONE, ONE, o
1.99503, 1.18369, ONE, ONE, o
-0.778794, 0.872369, ONE, ONE, o
-0.618302, 1.91277, ONE, ONE, o
0.605449, -0.546988, ONE, ONE, o
0.655593, -1.5348, ONE, ONE, o
2.58902, 1.49703, ONE, ONE, o
-0.00532, 1.37393, ONE, ONE, o
2.57662, 1.96534, ONE, ONE, o
-0.247389, 1.60791, ONE, ONE, o
0.004618, 1.25217, ONE, ONE, o
1.70782, 2.56543, ONE, ONE, o
1.73099, -0.09978, ONE, ONE, o
1.00474, 0.547303, ONE, ONE, o
0.305276, 2.20487, ONE, ONE, o
2.44875, -0.481833, ONE, ONE, o
-0.006782, 1.55713, ONE, ONE, o
-0.088212, 1.3166, ONE, ONE, o
2.03036, 0.671505, ONE, ONE, o
0.754303, 2.10028, ONE, ONE, o
1.99828, 0.795365, ONE, ONE, o
0.206955, -0.227226, ONE, ONE, o
1.08452, 0.152756, ONE, ONE, o
1.88266, 0.121375, ONE, ONE, o
1.48324, 1.47154, ONE, ONE, o
0.273782, 0.068028, ONE, ONE, o
-0.144967, 0.462801, ONE, ONE, o
0.682976, 2.34241, ONE, ONE, o
0.202092, 0.64331, ONE, ONE, o
1.8215, 1.40673, ONE, ONE, o
2.50547, 1.30011, ONE, ONE, o
0.826184, 2.93254, ONE, ONE, o
0.797884, 2.69114, ONE, ONE, o
0.101498, -0.058664, ONE, ONE, o
-0.285419, 0.412461, ONE, ONE, o
0.610128, -0.607141, ONE, ONE, o
2.05391, -0.852568, ONE, ONE, o
1.26438, 0.164118, ONE, ONE, o
1.02342, 2.19162, ONE, ONE, o
0.326548, 1.71715, ONE, ONE, o
-0.382043, 2.55168, ONE, ONE, o
0.7069, 0.652021, ONE, ONE, o
1.52315, 1.09106, ONE, ONE, o
1.10775, 1.69312, ONE, ONE, o
0.128604, 1.87038, ONE, ONE, o
-1.01974, 1.58672, ONE, ONE, o
0.548226, 1.28551, ONE, ONE, o
2.25583, -0.730223, ONE, ONE, o
-0.499606, -0.977141, ONE, ONE, o
1.87411, 0.947504, ONE, ONE, o
1.55943, 0.654231, ONE, ONE, o
0.409858, 1.3999, ONE, ONE, o
1.66236, 0.03504, ONE, ONE, o
0.630706, -0.791207, ONE, ONE, o
2.89352, 1.03131, ONE, ONE, o
1.66865, 1.46692, ONE, ONE, o
0.262396, 2.26294, ONE, ONE, o
1.4854, -0.409658, ONE, ONE, o
1.62912, 0.152356, ONE, ONE, o
1.06486, 1.07118, ONE, ONE, o
1.60085, 0.959768, ONE, ONE, o
0.695819, -0.43199, ONE, ONE, o
-1.41355, 0.594293, ONE, ONE, o
0.164421, 1.80827, ONE, ONE, o
2.123, -0.157188, ONE, ONE, o
3.01629, 2.83681, ONE, TWO, X
1.41231, 1.55398, ONE, ONE, o
-1.31362, 0.392982, ONE, ONE, o
2.39916, -0.058817, ONE, ONE, o
1.36502, -0.764801, ONE, ONE, o
1.31578, 2.0147, ONE, ONE, o
1.18861, -0.329188, ONE, ONE, o
-0.60344, 0.073667, ONE, ONE, o
1.08125, -0.405508, ONE, ONE, o
1.55934, 0.3281, ONE, ONE, o
-0.038106, -0.746904, ONE, ONE, o
0.045942, 0.730338, ONE, ONE, o
1.4432, -0.207474, ONE, ONE, o
1.82154, 2.69928, ONE, ONE, o
0.819191, 2.61127, ONE, ONE, o
-1.00122, 0.133646, ONE, ONE, o
2.10935, -0.196995, ONE, ONE, o
-0.229434, 1.86692, ONE, ONE, o
-0.623317, 0.72584, ONE, ONE, o
-0.808671, 1.53849, ONE, ONE, o
1.99313, 1.4398, ONE, ONE, o
0.78011, 0.922382, ONE, ONE, o
1.07791, 0.834318, ONE, ONE, o
2.46367, 0.087484, ONE, ONE, o
0.117686, -0.432866, ONE, ONE, o
0.91177, 0.121663, ONE, ONE, o
3.35129, 3.31174, ONE, TWO, X
0.291817, 0.773798, ONE, ONE, o
0.392579, 2.1469, ONE, ONE, o
1.0017, 1.58656, ONE, ONE, o
2.67976, 2.27066, ONE, ONE, o
1.45478, 2.68616, ONE, ONE, o
-0.270793, -1.01295, ONE, ONE, o
1.45266, 1.34623, ONE, ONE, o
0.788754, 2.66947, ONE, ONE, o
-0.556382, 1.80138, ONE, ONE, o
1.31545, 3.23663, ONE, ONE, o
1.46175, 0.234363, ONE, ONE, o
1.28059, 0.504275, ONE, ONE, o
-0.262429, 1.36764, ONE, ONE, o
1.71885, 0.584095, ONE, ONE, o
0.716426, 1.50774, ONE, ONE, o
1.3586, 0.092898, ONE, ONE, o
0.437814, 1.91784, ONE, ONE, o
0.675543, 1.49678, ONE, ONE, o
1.91175, 2.41207, ONE, ONE, o
1.66852, 0.277906, ONE, ONE, o
0.688817, 2.50432, ONE, ONE, o
0.01641, -2.03258, ONE, ONE, o
0.788911, -0.92944, ONE, ONE, o
1.38403, -0.282099, ONE, ONE, o
0.266578, 0.066235, ONE, ONE, o
0.426817, 3.11441, ONE, ONE, o
0.912822, 1.77547, ONE, ONE, o
0.741496, 1.39747, ONE, ONE, o
1.09736, 1.78325, ONE, ONE, o
1.26413, -0.469802, ONE, ONE, o
0.514428, 0.777269, ONE, ONE, o
1.41694, 2.08772, ONE, ONE, o
0.687869, 0.953833, ONE, ONE, o
0.852504, 0.137871, ONE, ONE, o
0.448831, 1.91581, ONE, ONE, o
0.487424, 1.51822, ONE, ONE, o
1.1765, 0.426769, ONE, ONE, o
0.769428, 0.226019, ONE, ONE, o
1.46305, 1.83345, ONE, ONE, o
2.03239, 2.29763, ONE, ONE, o
1.18911, 1.47259, ONE, ONE, o
0.995523, 1.64287, ONE, ONE, o
-0.077298, 0.522942, ONE, ONE, o
-0.219629, 3.22059, ONE, TWO, X
0.643201, 1.09743, ONE, ONE, o
1.6835, -1.37398, ONE, ONE, o
2.03192, 3.08625, ONE, ONE, o
0.896373, 0.724826, ONE, ONE, o
3.1896, 1.57175, ONE, ONE, o
0.711323, -0.113054, ONE, ONE, o
1.40602, 0.59761, ONE, ONE, o
