Number of data: 20000
Number of incorrect classifications: 8717
Test Sample Error Rate: 0.435828
Battacharyya bound: 0.373529
Chernoff bound: 0.3
         beta*: 0.999998
1.43882, 0.54064, ONE, ONE, o
1.30226, 2.03586, ONE, TWO, X
2.78492, 1.28084, ONE, TWO, X
2.59277, -0.073907, ONE, ONE, o
2.22811, 1.54239, ONE, TWO, X
0.910912, -0.333744, ONE, ONE, o
1.94016, 2.34695, ONE, TWO, X
3.6798, -0.116582, ONE, TWO, X
0.683598, 1.64074, ONE, ONE, o
1.12044, 2.7096, ONE, TWO, X
0.998487, 1.47091, ONE, ONE, o
0.361478, 0.815608, ONE, ONE, o
0.203514, 1.44315, ONE, ONE, o
-0.824375, -0.298315, ONE, ONE, o
0.8809, 0.371014, ONE, ONE, o
-0.632217, 1.64319, ONE, ONE, o
1.40507, 1.24729, ONE, ONE, o
1.58855, 0.499531, ONE, ONE, o
0.447339, 0.978581, ONE, ONE, o
1.84819, -0.500808, ONE, ONE, o
0.378109, -0.249211, ONE, ONE, o
3.47234, 1.92997, ONE, TWO, X
2.13943, -0.268004, ONE, ONE, o
0.866078, 0.941427, ONE, ONE, o
1.55305, 1.42568, ONE, ONE, o
-0.916783, -0.555623, ONE, ONE, o
1.3191, 1.13538, ONE, ONE, o
0.302333, 1.66774, ONE, ONE, o
1.68598, 1.11051, ONE, ONE, o
1.94164, 0.368884, ONE, ONE, o
-0.495657, 1.22915, ONE, ONE, o
2.33116, 1.45702, ONE, TWO, X
0.807023, 1.8289, ONE, ONE, o
0.341906, -0.140101, ONE, ONE, o
0.933205, -1.63205, ONE, ONE, o
1.66557, 1.23236, ONE, ONE, o
1.00481, 1.54746, ONE, ONE, o
0.491079, 2.16258, ONE, ONE, o
0.088104, 0.875282, ONE, ONE, o
0.540969, 0.705797, ONE, ONE, o
1.15707, -0.088159, ONE, ONE, o
1.22321, 1.26788, ONE, ONE, o
1.52056, 0.882879, ONE, ONE, o
0.659733, -0.532941, ONE, ONE, o
-0.888619, 0.768285, ONE, ONE, o
3.90538, 2.81779, ONE, TWO, X
0.227863, 2.84704, ONE, TWO, X
1.52927, 1.16193, ONE, ONE, o
1.43285, 2.12056, ONE, TWO, X
1.98145, 1.58604, ONE, TWO, X
1.0417, 0.537442, ONE, ONE, o
2.01838, 0.623627, ONE, ONE, o
0.780729, 1.90511, ONE, ONE, o
0.8007, 1.63763, ONE, ONE, o
1.78091, 0.302301, ONE, ONE, o
2.47337, 1.39966, ONE, TWO, X
-0.119464, 1.90783, ONE, ONE, o
2.67734, 1.31759, ONE, TWO, X
0.363516, -0.133458, ONE, ONE, o
1.15545, 0.163808, ONE, ONE, o
1.13251, 0.759022, ONE, ONE, o
2.47756, 1.37066, ONE, TWO, X
0.469311, -0.010338, ONE, ONE, o
0.387195, 2.55964, ONE, ONE, o
1.2245, 0.571567, ONE, ONE, o
2.86013, 1.37422, ONE, TWO, X
0.875159, 0.000774, ONE, ONE, o
2.04236, -0.012607, ONE, ONE, o
0.587824, 0.008824, ONE, ONE, o
0.894521, 0.122254, ONE, ONE, o
2.90333, 2.47947, ONE, TWO, X
0.747852, 1.01458, ONE, ONE, o
1.8401, 1.32486, ONE, TWO, X
1.68302, 0.944262, ONE, ONE, o
0.064795, 1.49242, ONE, ONE, o
3.10764, 0.280285, ONE, TWO, X
-0.093236, 0.794665, ONE, ONE, o
-0.265851, 0.809372, ONE, ONE, o
1.67806, 0.569042, ONE, ONE, o
-0.247819, 1.61628, ONE, ONE, o
1.14974, 1.53404, ONE, ONE, o
1.5437, 0.380571, ONE, ONE, o
0.61368, -0.147365, ONE, ONE, o
0.690988, 0.133882, ONE, ONE, o
0.880366, 0.277786, ONE, ONE, o
1.10974, -0.794734, ONE, ONE, o
3.68227, 0.425621, ONE, TWO, X
0.560244, 0.408971, ONE, ONE, o
2.51411, -0.268114, ONE, ONE, o
-0.138792, 0.957774, ONE, ONE, o
0.243838, 1.61825, ONE, ONE, o
0.363224, 1.6659, ONE, ONE, o
2.31789, 1.10053, ONE, TWO, X
0.347238, 1.3353, ONE, ONE, o
0.113042, 1.17116, ONE, ONE, o
0.883721, -0.624385, ONE, ONE, o
1.96589, 0.088136, ONE, ONE, o
0.806991, 1.49503, ONE, ONE, o
-0.466394, 1.61622, ONE, ONE, o
1.34669, 1.96463, ONE, TWO, X
1.73541, 0.590432, ONE, ONE, o
-0.729299, 2.40093, ONE, ONE, o
1.28158, 1.33615, ONE, ONE, o
1.82133, -0.23952, ONE, ONE, o
0.366405, 1.71384, ONE, ONE, o
-0.448616, 1.89444, ONE, ONE, o
0.479948, 1.47735, ONE, ONE, o
0.85552, 1.7328, ONE, ONE, o
0.533681, 0.426029, ONE, ONE, o
0.62458, -0.689384, ONE, ONE, o
2.14337, 1.37921, ONE, TWO, X
-0.210715, 1.17606, ONE, ONE, o
1.40918, -0.397623, ONE, ONE, o
1.72158, 1.66474, ONE, TWO, X
2.36152, 0.570116, ONE, ONE, o
0.440968, -0.010484, ONE, ONE, o
-1.26077, 2.80859, ONE, ONE, o
1.47601, 1.85412, ONE, TWO, X
0.11491, 0.189422, ONE, ONE, o
-1.12593, -2.24459, ONE, ONE, o
0.593808, 2.82185, ONE, TWO, X
2.35658, 0.792995, ONE, TWO, X
0.509029, 0.917239, ONE, ONE, o
1.73529, 0.093151, ONE, ONE, o
2.43405, 0.660344, ONE, TWO, X
2.20871, 2.49889, ONE, TWO, X
1.73857, 1.15315, ONE, ONE, o
-0.729069, 0.196995, ONE, ONE, o
-0.3757, 2.76042, ONE, ONE, o
1.23517, 1.22098, ONE, ONE, o
0.675732, 1.2026, ONE, ONE, o
0.829466, 0.71889, ONE, ONE, o
-1.06993, 0.679993, ONE, ONE, o
0.8623, 2.33652, ONE, TWO, X
1.72049, 1.86155, ONE, TWO, X
-0.325981, 1.7874, ONE, ONE, o
2.24548, 1.15675, ONE, TWO, X
0.821274, 1.9339, ONE, ONE, o
1.03804, 1.70427, ONE, ONE, o
1.88126, -0.157242, ONE, ONE, o
-0.196437, -0.484797, ONE, ONE, o
0.504386, 1.5571, ONE, ONE, o
0.347014, 1.89585, ONE, ONE, o
-0.499792, 0.852762, ONE, ONE, o
1.54015, -0.63697, ONE, ONE, o
0.019078, 0.830196, ONE, ONE, o
-0.528637, 1.02896, ONE, ONE, o
1.09368, -0.235061, ONE, ONE, o
0.253837, 0.982829, ONE, ONE, o
2.05131, -1.97347, ONE, ONE, o
0.466224, 1.75638, ONE, ONE, o
1.76575, 0.248147, ONE, ONE, o
0.717654, 3.15919, ONE, TWO, X
0.227708, 1.50008, ONE, ONE, o
2.00022, 1.87155, ONE, TWO, X
-0.042267, 2.06831, ONE, ONE, o
1.429, -0.926114, ONE, ONE, o
0.213156, 2.31088, ONE, ONE, o
1.34892, 0.921476, ONE, ONE, o
1.76786, 0.733008, ONE, ONE, o
0.971346, 1.35292, ONE, ONE, o
2.80636, 1.04704, ONE, TWO, X
2.09032, 2.90905, ONE, TWO, X
1.74455, 1.91496, ONE, TWO, X
1.42721, 2.30248, ONE, TWO, X
0.322805, 1.16056, ONE, ONE, o
2.00204, -0.377291, ONE, ONE, o
2.74304, 0.275371, ONE, ONE, o
1.66997, 1.33921, ONE, ONE, o
-0.123897, 0.612611, ONE, ONE, o
1.24836, 0.816361, ONE, ONE, o
0.545409, 2.47006, ONE, ONE, o
0.517957, 0.627021, ONE, ONE, o
0.185937, 1.6814, ONE, ONE, o
1.79713, 0.591513, ONE, ONE, o
1.37771, 2.00509, ONE, TWO, X
1.07722, 1.5043, ONE, ONE, o
-0.360915, 2.17997, ONE, ONE, o
0.866263, 0.60714, ONE, ONE, o
0.458685, -0.058512, ONE, ONE, o
-0.788275, 1.73961, ONE, ONE, o
1.81862, 1.86234, ONE, TWO, X
0.492261, 0.429696, ONE, ONE, o
1.40789, 1.23382, ONE, ONE, o
1.81107, 0.888917, ONE, ONE, o
1.78963, 1.65169, ONE, TWO, X
-0.767899, 2.05353, ONE, ONE, o
0.388492, -0.427987, ONE, ONE, o
0.644256, -2.05996, ONE, ONE, o
0.801772, 0.69259, ONE, ONE, o
1.27626, 2.48042, ONE, TWO, X
0.126145, 0.686649, ONE, ONE, o
0.409302, 1.08884, ONE, ONE, o
-0.464598, 0.816474, ONE, ONE, o
2.46465, 1.18726, ONE, TWO, X
1.11516, 1.30422, ONE, ONE, o
-0.526517, 1.29218, ONE, ONE, o
1.51658, 1.57902, ONE, TWO, X
1.64215, -0.275919, ONE, ONE, o
3.68825, -0.579253, ONE, TWO, X
0.795665, 0.977477, ONE, ONE, o
0.143358, 0.246101, ONE, ONE, o
0.592027, 0.776797, ONE, ONE, o
0.520245, 0.348971, ONE, ONE, o
0.055805, 0.695427, ONE, ONE, o
0.158588, 0.954158, ONE, ONE, o
1.00105, 0.534251, ONE, ONE, o
1.32115, 1.70741, ONE, ONE, o
2.83808, -1.1852, ONE, ONE, o
1.94839, 1.29958, ONE, TWO, X
0.786121, 2.10026, ONE, ONE, o
0.123574, 2.16782, ONE, ONE, o
0.04669, 1.2078, ONE, ONE, o
0.67652, 1.80532, ONE, ONE, o
1.85665, 0.631213, ONE, ONE, o
0.505877, 0.161113, ONE, ONE, o
2.42567, 1.39649, ONE, TWO, X
1.91664, 0.392065, ONE, ONE, o
1.57121, 0.757996, ONE, ONE, o
-0.650465, -1.00316, ONE, ONE, o
0.565163, 0.660063, ONE, ONE, o
1.69118, -0.1561, ONE, ONE, o
1.62629, 1.23918, ONE, ONE, o
-0.151196, -0.324474, ONE, ONE, o
1.69748, 0.376683, ONE, ONE, o
0.888706, 2.32022, ONE, TWO, X
2.10176, -0.433233, ONE, ONE, o
1.42982, 1.36884, ONE, ONE, o
1.20442, 0.200816, ONE, ONE, o
2.02628, 0.325095, ONE, ONE, o
1.49759, 1.40387, ONE, ONE, o
2.65227, 2.83098, ONE, TWO, X
1.34455, 0.270829, ONE, ONE, o
0.480813, -0.629907, ONE, ONE, o
3.37029, 0.383138, ONE, TWO, X
0.20168, 0.721556, ONE, ONE, o
2.20551, 0.351501, ONE, ONE, o
0.629987, 0.346838, ONE, ONE, o
0.396184, 2.35576, ONE, ONE, o
1.77752, 1.13461, ONE, ONE, o
1.0007, 1.65931, ONE, ONE, o
0.782089, 2.46529, ONE, TWO, X
1.77452, 0.368604, ONE, ONE, o
0.820729, 1.46051, ONE, ONE, o
1.31746, 1.09013, ONE, ONE, o
0.78743, 1.60324, ONE, ONE, o
1.32152, 0.304074, ONE, ONE, o
1.79522, 0.8792, ONE, ONE, o
1.89, 1.73818, ONE, TWO, X
-0.025815, 1.36658, ONE, ONE, o
0.870266, 1.34504, ONE, ONE, o
0.714775, 0.108507, ONE, ONE, o
0.779005, 0.957491, ONE, ONE, o
1.40431, 1.19306, ONE, ONE, o
1.43287, 1.67068, ONE, TWO, X
0.607987, 1.64841, ONE, ONE, o
2.11813, 0.802554, ONE, ONE, o
1.55112, 1.06644, ONE, ONE, o
1.82674, -0.553979, ONE, ONE, o
0.875826, 0.694609, ONE, ONE, o
1.76652, 2.57983, ONE, TWO, X
-0.562583, 0.828275, ONE, ONE, o
1.50043, 1.52974, ONE, ONE, o
0.672573, -0.829909, ONE, ONE, o
1.00863, 1.84791, ONE, ONE, o
1.12458, 2.26108, ONE, TWO, X
0.242157, 0.727114, ONE, ONE, o
0.881332, -0.423766, ONE, ONE, o
-0.345342, 0.997706, ONE, ONE, o
0.64956, 1.22736, ONE, ONE, o
-0.643686, 0.644021, ONE, ONE, o
-0.721128, 2.17819, ONE, ONE, o
0.44006, 1.97479, ONE, ONE, o
1.95305, 0.706653, ONE, ONE, o
2.09925, 2.35051, ONE, TWO, X
1.69367, 0.281018, ONE, ONE, o
-0.74493, 0.652678, ONE, ONE, o
-0.210708, 1.24681, ONE, ONE, o
1.47141, 1.51793, ONE, ONE, o
0.802003, -0.279827, ONE, ONE, o
0.217722, 0.179907, ONE, ONE, o
1.56584, 1.7189, ONE, TWO, X
-0.372784, 2.42505, ONE, ONE, o
0.729427, 0.867986, ONE, ONE, o
0.410405, 1.87704, ONE, ONE, o
1.63722, 1.03854, ONE, ONE, o
1.77254, 0.162554, ONE, ONE, o
1.77286, 0.07767, ONE, ONE, o
1.27978, 1.33297, ONE, ONE, o
1.55746, 0.400688, ONE, ONE, o
2.09571, 1.39736, ONE, TWO, X
-0.078614, 1.54001, ONE, ONE, o
1.79813, 0.779432, ONE, ONE, o
2.4643, -0.398118, ONE, ONE, o
2.0055, 0.481865, ONE, ONE, o
0.3145, 1.29393, ONE, ONE, o
1.54692, 0.559439, ONE, ONE, o
1.53958, 0.417684, ONE, ONE, o
2.55277, -0.059738, ONE, ONE, o
1.89334, 2.37445, ONE, TWO, X
0.816645, 0.122997, ONE, ONE, o
1.2059, 2.22918, ONE, TWO, X
0.145102, 2.46043, ONE, ONE, o
1.42458, 1.27983, ONE, ONE, o
2.42238, 1.30118, ONE, TWO, X
2.38378, 1.57198, ONE, TWO, X
0.065107, 2.01254, ONE, ONE, o
2.32602, 2.31881, ONE, TWO, X
1.97464, 1.09027, ONE, ONE, o
1.58732, -0.12079, ONE, ONE, o
1.06122, 1.52835, ONE, ONE, o
0.843997, 1.51645, ONE, ONE, o
0.246662, 1.3895, ONE, ONE, o
1.53119, -1.20007, ONE, ONE, o
1.5208, -0.13868, ONE, ONE, o
2.41776, 0.581457, ONE, ONE, o
0.554566, 2.18059, ONE, ONE, o
0.8832, 1.3059, ONE, ONE, o
1.06003, -1.41596, ONE, ONE, o
-0.147781, 1.03174, ONE, ONE, o
0.87725, 1.01633, ONE, ONE, o
2.5596, -2.23614, ONE, ONE, o
0.715586, -1.16426, ONE, ONE, o
0.717754, -0.675224, ONE, ONE, o
0.4853, 1.84536, ONE, ONE, o
0.217964, 0.597577, ONE, ONE, o
1.97213, -0.006106, ONE, ONE, o
1.95044, 1.78991, ONE, TWO, X
1.66862, 0.331537, ONE, ONE, o
0.227004, -0.304995, ONE, ONE, o
2.66148, -1.00151, ONE, ONE, o
-0.103338, 1.59426, ONE, ONE, o
0.197603, -0.168893, ONE, ONE, o
1.10713, 0.65638, ONE, ONE, o
-0.710695, 2.00846, ONE, ONE, o
1.77178, 0.079434, ONE, ONE, o
1.7313, 1.87327, ONE, TWO, X
0.791143, 0.928941, ONE, ONE, o
-1.39432, 0.653914, ONE, ONE, o
0.814461, 0.631009, ONE, ONE, o
0.380589, 0.219443, ONE, ONE, o
0.30675, 1.31905, ONE, ONE, o
0.750128, 1.65488, ONE, ONE, o
0.144571, 0.681254, ONE, ONE, o
0.912256, 0.431355, ONE, ONE, o
0.164239, 1.89197, ONE, ONE, o
1.29032, -0.079837, ONE, ONE, o
0.01581, -0.137496, ONE, ONE, o
0.801615, 0.818131, ONE, ONE, o
-0.682351, 1.17199, ONE, ONE, o
2.34992, 0.528444, ONE, ONE, o
0.186676, 1.89897, ONE, ONE, o
2.17916, 1.71174, ONE, TWO, X
1.60062, 0.521175, ONE, ONE, o
0.660539, -1.20499, ONE, ONE, o
1.08791, 0.312001, ONE, ONE, o
0.859926, 0.081868, ONE, ONE, o
0.256845, -1.09219, ONE, ONE, o
0.192849, 1.28281, ONE, ONE, o
0.839835, 2.60544, ONE, TWO, X
0.481279, 2.54564, ONE, ONE, o
0.469437, -0.03331, ONE, ONE, o
1.26911, 0.533369, ONE, ONE, o
0.239817, 0.647144, ONE, ONE, o
0.249, 1.77738, ONE, ONE, o
1.68702, 2.81063, ONE, TWO, X
0.048578, -0.457807, ONE, ONE, o
-0.041305, 0.923698, ONE, ONE, o
-0.44272, 0.872823, ONE, ONE, o
0.306847, 1.75029, ONE, ONE, o
0.437818, 1.45209, ONE, ONE, o
0.456717, 2.70719, ONE, TWO, X
2.17445, 1.30131, ONE, TWO, X
1.87966, -0.381353, ONE, ONE, o
1.21432, 2.23865, ONE, TWO, X
1.18217, 3.38303, ONE, TWO, X
0.420501, -0.064751, ONE, ONE, o
0.814857, 0.738078, ONE, ONE, o
0.031951, 0.172886, ONE, ONE, o
-0.71803, 1.68974, ONE, ONE, o
-0.15772, -0.298029, ONE, ONE, o
2.08765, 2.41267, ONE, TWO, X
1.14624, 0.600667, ONE, ONE, o
0.314721, 2.36727, ONE, ONE, o
0.468715, 0.067584, ONE, ONE, o
2.78647, 1.50772, ONE, TWO, X
0.995945, 2.97186, ONE, TWO, X
2.33168, -0.025849, ONE, ONE, o
0.198055, 1.04462, ONE, ONE, o
0.356222, 2.49204, ONE, ONE, o
0.364728, 1.7328, ONE, ONE, o
0.960243, -0.677679, ONE, ONE, o
0.188332, 0.985204, ONE, ONE, o
-0.32607, 2.15282, ONE, ONE, o
0.390362, 0.574094, ONE, ONE, o
0.740871, 1.4084, ONE, ONE, o
1.8337, -0.059346, ONE, ONE, o
-0.075028, 1.55155, ONE, ONE, o
1.37657, 0.19007, ONE, ONE, o
1.49542, 1.03244, ONE, ONE, o
0.414328, 1.47152, ONE, ONE, o
-0.376509, 0.549908, ONE, ONE, o
0.735005, 1.71976, ONE, ONE, o
-0.66237, 1.05107, ONE, ONE, o
2.57918, 3.43488, ONE, TWO, X
1.28867, 1.62284, ONE, ONE, o
2.57253, 0.914546, ONE, TWO, X
0.982673, -0.102917, ONE, ONE, o
1.08639, 1.58045, ONE, ONE, o
2.01955, 2.91725, ONE, TWO, X
1.60148, 0.08929, ONE, ONE, o
1.8533, 1.19875, ONE, ONE, o
0.730044, 2.22856, ONE, ONE, o
-0.010643, 1.12497, ONE, ONE, o
2.13865, 2.68783, ONE, TWO, X
2.8894, -0.995839, ONE, ONE, o
0.815179, 1.00342, ONE, ONE, o
1.49506, 1.24853, ONE, ONE, o
0.742137, 1.42197, ONE, ONE, o
0.218901, 0.092736, ONE, ONE, o
0.024836, -0.288307, ONE, ONE, o
1.54332, 2.07523, ONE, TWO, X
1.95816, 0.320875, ONE, ONE, o
-1.49994, -0.212078, ONE, ONE, o
-0.435713, 1.55799, ONE, ONE, o
0.944074, 1.69497, ONE, ONE, o
0.833455, 3.85839, ONE, TWO, X
1.96852, -0.367684, ONE, ONE, o
0.880791, 2.41177, ONE, TWO, X
0.794526, 1.06489, ONE, ONE, o
1.75476, 3.35767, ONE, TWO, X
0.512227, 0.930702, ONE, ONE, o
1.52588, 0.136731, ONE, ONE, o
-0.164459, 0.669939, ONE, ONE, o
1.13347, 1.2926, ONE, ONE, o
1.46931, 1.8939, ONE, TWO, X
1.72668, 0.639532, ONE, ONE, o
-0.0734, 0.381437, ONE, ONE, o
0.7125, 1.42793, ONE, ONE, o
2.73157, 1.87032, ONE, TWO, X
0.843126, 0.891147, ONE, ONE, o
1.69743, 0.946618, ONE, ONE, o
3.16188, 0.47217, ONE, TWO, X
1.0557, -0.295655, ONE, ONE, o
0.159171, 0.823289, ONE, ONE, o
1.4878, -0.415084, ONE, ONE, o
1.37845, -0.571234, ONE, ONE, o
0.802694, -0.590522, ONE, ONE, o
1.34831, 0.522791, ONE, ONE, o
1.39182, -0.383236, ONE, ONE, o
1.27018, 1.30159, ONE, ONE, o
0.855768, -0.136618, ONE, ONE, o
1.23633, 1.64721, ONE, ONE, o
0.616201, 0.937111, ONE, ONE, o
0.624964, 1.92533, ONE, ONE, o
1.11905, -0.896556, ONE, ONE, o
0.934483, 2.30982, ONE, TWO, X
1.05437, 0.217438, ONE, ONE, o
0.723518, 1.87916, ONE, ONE, o
0.57314, 3.42563, ONE, TWO, X
0.311438, 0.934432, ONE, ONE, o
1.38942, 1.59567, ONE, ONE, o
1.07086, 0.449984, ONE, ONE, o
1.57712, 0.809075, ONE, ONE, o
2.33307, 0.743184, ONE, ONE, o
0.596316, 0.595626, ONE, ONE, o
1.45233, 0.856965, ONE, ONE, o
2.79834, -0.369872, ONE, ONE, o
1.10479, 1.75171, ONE, ONE, o
1.74498, 1.8687, ONE, TWO, X
1.655, -0.379941, ONE, ONE, o
0.747449, -0.496716, ONE, ONE, o
0.691638, 2.81207, ONE, TWO, X
1.23576, -0.259945, ONE, ONE, o
2.67736, -0.412696, ONE, ONE, o
0.804926, 0.148213, ONE, ONE, o
0.856194, 0.904794, ONE, ONE, o
1.97833, 0.718421, ONE, ONE, o
1.88779, -1.42991, ONE, ONE, o
-0.219238, 0.690164, ONE, ONE, o
1.38406, -0.444748, ONE, ONE, o
0.894689, 1.53178, ONE, ONE, o
-0.095991, 1.30455, ONE, ONE, o
2.38206, 1.8006, ONE, TWO, X
1.22287, 0.650236, ONE, ONE, o
-1.27139, 0.981535, ONE, ONE, o
0.907963, 1.25071, ONE, ONE, o
0.055163, 0.084519, ONE, ONE, o
0.646336, 1.81152, ONE, ONE, o
2.10444, 1.09777, ONE, TWO, X
2.06357, 2.29955, ONE, TWO, X
4.03249, 0.929043, ONE, TWO, X
1.2169, 0.380554, ONE, ONE, o
2.29902, 1.70057, ONE, TWO, X
0.063978, 0.631202, ONE, ONE, o
2.1336, 2.96862, ONE, TWO, X
0.772268, 2.9084, ONE, TWO, X
2.43205, 1.29513, ONE, TWO, X
0.470162, 0.636514, ONE, ONE, o
0.663083, 1.37608, ONE, ONE, o
2.15027, 1.14572, ONE, TWO, X
2.8867, 1.70925, ONE, TWO, X
-0.052486, -0.204282, ONE, ONE, o
-0.884663, 0.658646, ONE, ONE, o
1.25073, -0.190473, ONE, ONE, o
0.8152, 0.457082, ONE, ONE, o
1.85305, 1.61134, ONE, TWO, X
0.171195, 0.621476, ONE, ONE, o
-0.405248, -1.29321, ONE, ONE, o
-0.12367, -0.027785, ONE, ONE, o
1.53643, 1.83184, ONE, TWO, X
1.01247, -0.307378, ONE, ONE, o
1.00067, 3.94577, ONE, TWO, X
2.43343, 0.059725, ONE, ONE, o
1.87264, -0.380027, ONE, ONE, o
0.371226, 1.48681, ONE, ONE, o
-0.122886, -0.838454, ONE, ONE, o
2.73523, 0.228782, ONE, ONE, o
0.578549, 0.549239, ONE, ONE, o
0.163424, 1.73462, ONE, ONE, o
0.3016, 1.01213, ONE, ONE, o
1.16682, 1.05567, ONE, ONE, o
0.175225, 0.209354, ONE, ONE, o
-0.195441, 1.25358, ONE, ONE, o
1.23231, 0.774167, ONE, ONE, o
0.282096, 1.4781, ONE, ONE, o
1.67588, -1.47523, ONE, ONE, o
0.965902, 0.040107, ONE, ONE, o
0.856482, 0.838917, ONE, ONE, o
-0.084997, 1.21988, ONE, ONE, o
2.94164, 0.468869, ONE, TWO, X
-0.778001, 2.41914, ONE, ONE, o
3.18954, 1.29408, ONE, TWO, X
2.23689, 2.88518, ONE, TWO, X
1.54377, 2.12684, ONE, TWO, X
0.491833, 0.054007, ONE, ONE, o
