0.0004,0.0014,0.0047,0.0125,0.0273,0.0486,0.0711,0.0857,0.0879,0.0838,0.0913,0.1335,0.2315,0.3977,0.6268,0.8876,1.1245,1.2730,1.2874,1.1630,0.9383,0.6762,0.4352,0.2502,0.1284,
0.0007,0.0029,0.0099,0.0272,0.0611,0.1119,0.1675,0.2057,0.2104,0.1881,0.1699,0.1964,0.3012,0.5016,0.7909,1.1308,1.4507,1.6652,1.7085,1.5661,1.2823,0.9378,0.6124,0.3572,0.1861,
0.0012,0.0050,0.0172,0.0485,0.1117,0.2102,0.3229,0.4061,0.4216,0.3718,0.3060,0.2909,0.3777,0.5870,0.9088,1.2993,1.6793,1.9493,2.0268,1.8847,1.5661,1.1625,0.7707,0.4563,0.2413,
0.0016,0.0068,0.0243,0.0704,0.1667,0.3222,0.5084,0.6563,0.6973,0.6226,0.4997,0.4270,0.4754,0.6658,0.9797,1.3697,1.7594,2.0504,2.1527,2.0274,1.7088,1.2873,0.8663,0.5207,0.2795,
0.0017,0.0077,0.0280,0.0834,0.2030,0.4031,0.6536,0.8670,0.9467,0.8681,0.7095,0.5958,0.6130,0.7736,1.0428,1.3718,1.7019,1.9565,2.0555,1.9527,1.6665,1.2733,0.8696,0.5306,0.2891,
0.0015,0.0070,0.0263,0.0806,0.2016,0.4115,0.6858,0.9358,1.0536,1.0022,0.8595,0.7601,0.7901,0.9413,1.1525,1.3725,1.5743,1.7271,1.7805,1.6900,1.4546,1.1256,0.7798,0.4829,0.2671,
0.0011,0.0052,0.0202,0.0636,0.1634,0.3427,0.5873,0.8253,0.9615,0.9583,0.8846,0.8640,0.9652,1.1483,1.3174,1.4144,1.4498,1.4533,1.4220,1.3236,1.1394,0.8900,0.6248,0.3925,0.2204,
0.0007,0.0032,0.0126,0.0409,0.1080,0.2329,0.4106,0.5952,0.7206,0.7616,0.7754,0.8610,1.0607,1.3031,1.4599,1.4613,1.3453,1.1988,1.0704,0.9490,0.8046,0.6305,0.4474,0.2850,0.1624,
0.0003,0.0016,0.0065,0.0215,0.0583,0.1292,0.2344,0.3513,0.4449,0.5063,0.5816,0.7431,1.0099,1.2957,1.4577,1.4149,1.2132,0.9704,0.7727,0.6314,0.5157,0.4011,0.2867,0.1849,0.1069,
0.0001,0.0006,0.0027,0.0092,0.0256,0.0585,0.1094,0.1700,0.2272,0.2837,0.3745,0.5488,0.8136,1.0904,1.2490,1.2079,1.0020,0.7449,0.5332,0.3934,0.3021,0.2299,0.1645,0.1072,0.0628,
0.0000,0.0002,0.0009,0.0032,0.0092,0.0216,0.0417,0.0676,0.0966,0.1351,0.2069,0.3431,0.5469,0.7631,0.8951,0.8754,0.7211,0.5165,0.3423,0.2287,0.1623,0.1190,0.0846,0.0556,0.0330,
0.0000,0.0001,0.0003,0.0009,0.0027,0.0065,0.0130,0.0222,0.0344,0.0550,0.0976,0.1797,0.3041,0.4401,0.5300,0.5281,0.4385,0.3105,0.1970,0.1217,0.0797,0.0557,0.0391,0.0258,0.0155,

